video_id,comment_id,text,author,likes,time,reply_count,cleaned_comment
SH9Mz-Ssd7A,UgzPT99p9YCO9kzpuD14AaABAg,All drinkers ready made stuff,@kakanisrikanth7535,0,4 years ago,False,drinkers ready made stuff
SH9Mz-Ssd7A,Ugxpw8CKgzPnYzlt6Xp4AaABAg,Apna to khatta mitha favorite ❤️❤️❤️❤️❤️❤️❤️❤️❤️,@AliAhmad-yx7kp,0,4 years ago,False,apna khatta mitha favorite
SH9Mz-Ssd7A,UgzmC5K752kGoFLY48R4AaABAg,Very nice haldiram,@motikurre5931,0,4 years ago,False,nice haldiram
SH9Mz-Ssd7A,UgxZ60y2ZZpcJpRWV7t4AaABAg,Haldiram's products  good but Bikaji better than haldiram's.... ...for my experiences,@purabikalita9620,0,4 years ago,False,haldirams products good bikaji better haldirams experiences
SH9Mz-Ssd7A,UgyT9AsLugeuL3DqqRV4AaABAg,Is company m kaam mil sakta hai kyaa plzzz help me,@susheelkumarseth8422,0,4 years ago,False,company kaam mil sakta hai kyaa plzzz help
SH9Mz-Ssd7A,UgwrED20SzP8RaA-91Z4AaABAg,Your email address,@sscg408,0,4 years ago,False,email address
SH9Mz-Ssd7A,Ugzn7yx1x9t_nM8EeW94AaABAg,Manager Sunil patar  ji hai kya video me nice videos,@vikashshrivashtav7098,1,4 years ago,False,manager sunil patar ji hai kya video nice videos
SH9Mz-Ssd7A,UgzploEUMUwUPaM0NKp4AaABAg,Better they can avoid that citrus Flavour in Namkeens which causes Sour Taste & Smell.,@gomathib2310,0,4 years ago,False,better avoid citrus flavour namkeens causes sour taste smell
SH9Mz-Ssd7A,UgxDQ1DhXf6l-1d2gCV4AaABAg,2.43 🤣,@sunilkandula1114,0,4 years ago,False,
SH9Mz-Ssd7A,Ugxv60CvPF2HQfGRIzt4AaABAg,What about bakery products like bread buns etc?,@Apolitical_thinker,0,4 years ago,False,bakery products like bread buns etc
SH9Mz-Ssd7A,UgxVM8QBu5geZCBixYF4AaABAg,Nagpur City ❤️,@velagnifernandes4008,1,4 years ago,False,nagpur city
SH9Mz-Ssd7A,UgyhRVaAiWIgUTtbfyJ4AaABAg,I love❤️ Haldiram products,@amarkavitkar,1,4 years ago,False,love haldiram products
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg,Jai Maharashtra 🔥 love from haldirams origin Nagpur ❤️,@akatechAi,52,4 years ago,False,jai maharashtra love haldirams origin nagpur
SH9Mz-Ssd7A,Ugw0PC_ghfA3TZlzayN4AaABAg,Hi 👋,@chiragnadiyapara8947,0,4 years ago,False,hi
SH9Mz-Ssd7A,UgwIBMs27g7G2g0Lxe94AaABAg,"Feel proud whenever I see NAGPUR on Haldirams logo. 
.. #nagpurian",@thestart662,1,4 years ago,False,feel proud whenever see nagpur haldirams logo nagpurian
SH9Mz-Ssd7A,Ugz0GrdVfv3plxCFR814AaABAg,"'Haldi'ram's is healthyrams... nutritious, fulfilling , tasty, adorable , delicious , and gives a family touch....we spend 5 rupees and get the benefit of 5 k crore....mashaallah..marvellous",@rokhayashaik6977,4,4 years ago,False,haldirams healthyrams nutritious fulfilling tasty adorable delicious gives family touchwe spend rupees get benefit k croremashaallahmarvellous
